nan,nan.1,nan.2,nan.3,timestamp,connected_devices,signal_strength_dbm,download_mbps,upload_mbps,latency_ms,packet_loss,congestion_index
Department,AP TYPE Cisco/Indio,AP Name / No.,AP IP Address,2026-05-01 00:00:00,107,-52.63,57.19,33.53,41.06,0.918,1.87
CVRaman-FF-RM-1013-AP20,CISCO,AP01,10.88.21.143,2026-05-01 00:05:00,56,-84.88,30.36,17.64,15.56,0.176,1.84
CVRaman-GF-RM-17-AP09,CISCO,AP02,10.88.21.135,2026-05-01 00:10:00,97,-86.9,42.44,17.55,28.36,0.78,2.29
CVRaman-GF-RM-129-AP51,CISCO,AP03,10.88.21.129,2026-05-01 00:15:00,19,-58.12,34.72,14.07,54.77,0.178,0.55
FoodEngineering-FF-RM-205-AP03,CISCO,AP04,10.88.20.241,2026-05-01 00:20:00,111,-57.56,117.27,73.05,69.55,0.535,0.95
CVRaman-FF-RM-1111-AP04,CISCO,AP05,10.88.21.157,2026-05-01 00:25:00,76,-51.75,20.97,13.38,10.03,0.75,3.62
CVRaman-GF-RM-37-AP05,CISCO,AP06,10.88.21.125,2026-05-01 00:30:00,65,-46.43,21.56,11.64,40.12,0.625,3.01
CVRaman-GF-RM-41-AP06,CISCO,AP07,10.88.21.126,2026-05-01 00:35:00,25,-31.45,19.11,11.96,9.93,0.776,1.31
CVRaman-FF-RM-1100-AP02,CISCO,AP08,10.88.21.159,2026-05-01 00:40:00,107,-59.02,40.87,25.08,41.08,0.497,2.62
CVRaman-FF-RM-1076-AP09,CISCO,AP09,10.88.21.152,2026-05-01 00:45:00,87,-70.62,25.89,12.24,69.63,0.946,3.36
AP0059.dc84.5eb8,CISCO,AP01,10.88.20.231,2026-05-01 00:50:00,91,-42.29,38.07,28.89,44.49,0.801,2.39
CVRaman-GF-RM-RM-55-AP12,CISCO,AP02,10.88.21.134,2026-05-01 00:55:00,79,-73.75,29.63,20.34,54.42,0.027,2.67
CVRaman-FF-RM-1002-AP19,CISCO,AP03,10.88.21.141,2026-05-01 01:00:00,79,-63.66,16.38,7.84,42.91,0.595,4.82
Humanities-GF-RM-135-AP03,CISCO,AP04,10.88.20.195,2026-05-01 01:05:00,92,-85.29,73.75,34.77,53.96,0.238,1.25
CVRaman-GF-RM-68-AP12,CISCO,AP05,10.88.21.130,2026-05-01 01:10:00,104,-88.48,14.24,11.33,50.24,0.807,7.3
EVS-GF-RM-08-AP-07,CISCO,AP06,10.88.20.33,2026-05-01 01:15:00,108,-32.24,29.35,19.58,20.37,0.293,3.68
EVS-SF-RM-207-AP02,CISCO,AP07,10.88.20.38,2026-05-01 01:20:00,28,-39.84,37.58,24.55,60.19,0.848,0.75
CVRaman-FF-RM-1114-AP05,CISCO,AP08,10.88.21.156,2026-05-01 01:25:00,7,-48.24,19.53,12.37,36.61,0.893,0.36
FoodEngineering-SF-RM-303-AP03,CISCO,AP01,10.88.20.161,2026-05-01 01:30:00,26,-65.46,26.81,14.32,66.88,0.363,0.97
Academic-II-GF-CC-AP02,CISCO,AP02,10.88.20.12,2026-05-01 01:35:00,57,-79.6,13.1,8.51,35.71,0.552,4.35
MBBT-GF-RM-107-AP01,CISCO,AP03,10.88.20.123,2026-05-01 01:40:00,6,-80.61,20.13,9.82,78.09,0.78,0.3
MassComm-GF-RM-103-AP02,CISCO,AP04,10.88.20.131,2026-05-01 01:45:00,92,-74.99,29.0,17.25,72.09,0.8,3.17
FoodEngineering-GF-RM-102-AP03,CISCO,AP05,10.88.20.157,2026-05-01 01:50:00,112,-57.05,26.59,16.09,60.63,0.699,4.21
ECE-GF-RM-112-AP02,CISCO,AP06,10.88.20.134,2026-05-01 01:55:00,34,-47.12,78.18,35.63,67.62,0.984,0.43
CVRaman-GF-RM-74-AP14,CISCO,AP07,10.88.21.132,2026-05-01 02:00:00,42,-50.39,86.8,58.72,56.24,0.823,0.48
Humanities-FF-RM-238-AP03,CISCO,AP08,10.88.20.201,2026-05-01 02:05:00,6,-73.2,43.54,27.46,25.55,0.554,0.14
MassComm-GF-RM-109-AP01,CISCO,AP09,10.88.20.132,2026-05-01 02:10:00,68,-32.71,47.8,32.89,12.99,0.14,1.42
